code_muni,municipio,area,densidade
3524600,Jacupiranga,704.189,22.86
3524709,Jaguariúna,141.391,419.74
3524808,Jales,368.574,132.34
3524907,Jambeiro,184.413,34.69
3525003,Jandira,17.449,6765.14
3525102,Jardinópolis,501.87,90.23
3525201,Jarinu,207.549,180.85
3525300,Jaú,687.103,194.29
3525409,Jeriquara,141.971,27.21
3525508,Joanópolis,374.293,34.24
3525607,João Ramalho,415.452,10.52
3525706,José Bonifácio,860.2,42.59
3525805,Júlio Mesquita,128.183,33.19
3525854,Jumirim,56.685,53.91
3525904,Jundiaí,431.204,1027.87
3526001,Junqueirópolis,582.565,35.1
3526100,Juquiá,812.799,21.1
3526209,Juquitiba,522.169,52.48
3526308,Lagoinha,255.472,19.9
3526407,Laranjal Paulista,384.274,68.34
3526506,Lavínia,537.675,18.02
3526605,Lavrinhas,167.067,42.92
3526704,Leme,402.871,243.65
3526803,Lençóis Paulista,809.541,82.15
3526902,Limeira,580.711,502.61
3527009,Lindóia,48.756,143.86
3527108,Lins,570.058,131.18
3527207,Lorena,414.16,204.88
3527256,Lourdes,113.94,17.11
3527306,Louveira,55.738,930.19
3527405,Lucélia,314.81,63.72
3527504,Lucianópolis,189.536,12.51
3527603,Luís Antônio,598.257,20.5
3527702,Luiziânia,166.576,28.22
3527801,Lupércio,155.171,25.66
3527900,Lutécia,475.226,5.6
3528007,Macatuba,224.514,74.96
3528106,Macaubal,248.087,30.15
3528205,Macedônia,327.567,12.1
3528304,Magda,312.282,10.14
3528403,Mairinque,210.149,238.05
3528502,Mairiporã,320.697,292.65
3528601,Manduri,229.046,43.1
3528700,Marabá Paulista,919.519,4.97
3528809,Maracaí,533.498,23.75
3528858,Marapoama,111.267,29.59
3528908,Mariápolis,186.544,18.83
3529005,Marília,1170.515,203.01
3529104,Marinópolis,77.827,23.9
3529203,Martinópolis,1253.564,19.85
3529302,Matão,524.899,150.57
3529401,Mauá,61.937,6753.01
3529500,Mendonça,195.151,31.56
3529609,Meridiano,228.199,20.04
3529658,Mesópolis,148.636,13.13
3529708,Miguelópolis,820.849,23.68
3529807,Mineiros do Tietê,213.242,52.66
3529906,Miracatu,1001.484,18.53
3530003,Mira Estrela,216.825,14.42
3530102,Mirandópolis,917.694,30.49
3530201,Mirante do Paranapanema,1238.931,12.85
3530300,Mirassol,243.228,260.4
3530409,Mirassolândia,166.125,28.11
3530508,Mococa,855.156,79.14
3530607,Mogi das Cruzes,712.541,633.65
3530706,Mogi Guaçu,812.753,189.06
3530805,Mogi Mirim,497.708,185.97
3530904,Mombuca,133.698,27.84
3531001,Monções,104.352,18.56
3531100,Mongaguá,142.755,433.97
3531209,Monte Alegre do Sul,110.308,78.21
3531308,Monte Alto,346.95,137.12
3531407,Monte Aprazível,495.559,44.96
3531506,Monte Azul Paulista,263.462,68.89
3531605,Monte Castelo,233.547,18.08
3531704,Monteiro Lobato,332.742,12.44
3531803,Monte Mor,240.566,268.79
3531902,Morro Agudo,1388.127,20.12
3532009,Morungaba,146.752,93.49
3532058,Motuca,228.7,17.64
3532108,Murutinga do Sul,250.873,14.9
3532157,Nantes,286.647,9.28
3532207,Narandiba,357.325,15.99
3532306,Natividade da Serra,833.372,8.4
3532405,Nazaré Paulista,326.254,55.84
3532504,Neves Paulista,219.05,44.28
3532603,Nhandeara,436.159,22.59
3532702,Nipoã,137.609,34.52
3532801,Nova Aliança,217.515,30.77
3532827,Nova Campina,385.375,22.05
3532843,Nova Canaã Paulista,124.473,16.32
3532868,Nova Castilho,183.396,5.79
3532900,Nova Europa,160.25,58.1
3533007,Nova Granada,531.796,36.52
3533106,Nova Guataporanga,34.158,63.12
3533205,Nova Independência,265.029,17.39
3533254,Novais,117.772,37.46
3533304,Nova Luzitânia,73.816,38.43
3533403,Nova Odessa,73.788,840.5
3533502,Novo Horizonte,931.743,41.13
3533601,Nuporanga,348.265,21.22
3533700,Ocauçu,301.036,14.39
3533809,Óleo,198.938,12.63
3533908,Olímpia,802.555,68.62
3534005,Onda Verde,242.946,19.64
3534104,Oriente,218.668,27.83
3534203,Orindiúva,247.378,24.35
3534302,Orlândia,291.765,131.34
3534401,Osasco,64.954,11217.4
3534500,Oscar Bressane,222.13,11.12
3534609,Osvaldo Cruz,248.038,126.08
3534708,Ourinhos,295.818,351.47
3534757,Ouroeste,288.648,35.66
3534807,Ouro Verde,266.778,29.16
3534906,Pacaembu,339.375,43.84
3535002,Palestina,697.701,16.45
3535101,Palmares Paulista,82.125,117.5
3535200,Palmeira d'Oeste,318.74,27.93
3535309,Palmital,548.407,35.73
3535408,Panorama,356.05,42.03
3535507,Paraguaçu Paulista,1001.492,41.06
3535606,Paraibuna,809.576,21.82
3535705,Paraíso,155.186,39.3
3535804,Paranapanema,1018.724,19.04
3535903,Paranapuã,140.354,28.72
3536000,Parapuã,366.664,28.85
3536109,Pardinho,209.894,34.08
3536208,Pariquera-Açu,359.414,53.51
3536257,Parisi,84.737,34.13
3536307,Patrocínio Paulista,602.848,24.07
3536406,Paulicéia,374.091,21.26
3536505,Paulínia,138.777,796.51
3536570,Paulistânia,256.178,8.16
3536604,Paulo de Faria,737.986,10.03
3536703,Pederneiras,727.482,61.62
3536802,Pedra Bela,158.587,41.35
3536901,Pedranópolis,260.101,10.72
3537008,Pedregulho,712.604,21.79
3537107,Pedreira,108.817,396.19
3537156,Pedrinhas Paulista,152.309,18.41
3537206,Pedro de Toledo,670.44,16.83
3537305,Penápolis,711.315,86.71
3537404,Pereira Barreto,974.247,24.73
3537503,Pereiras,223.136,39.16
3537602,Peruíbe,326.216,209.53
3537701,Piacatu,232.488,23.74
3537800,Piedade,746.868,70.92
3537909,Pilar do Sul,681.248,40.54
3538006,Pindamonhangaba,731.355,226.19
3538105,Pindorama,184.825,78.68
3538204,Pinhalzinho,154.529,98.52
3538303,Piquerobi,482.769,6.76
3538501,Piquete,175.996,70.97
3538600,Piracaia,385.568,67.51
3538709,Piracicaba,1378.069,307.19
3538808,Piraju,504.591,58.34
3538907,Pirajuí,823.758,27.23
3539004,Pirangi,215.809,50.44
3539103,Pirapora do Bom Jesus,108.489,169.33
3539202,Pirapozinho,477.673,53.07
3539301,Pirassununga,727.118,101.15
3539400,Piratininga,402.409,37.54
3539509,Pitangueiras,430.638,78.2
3539608,Planalto,289.825,15.14
3539707,Platina,327.48,9.24
3539806,Poá,17.264,6010.48
3539905,Poloni,135.12,41.39
3540002,Pompéia,784.674,25.74
3540101,Pongaí,183.399,18.51
3540200,Pontal,356.371,105.53
3540259,Pontalinda,209.525,19.7
3540309,Pontes Gestal,217.505,10.97
3540408,Populina,315.938,13.06
3540507,Porangaba,265.689,39.34
3540606,Porto Feliz,556.706,101.48
3540705,Porto Ferreira,244.906,214.98
3540754,Potim,44.643,456.78
3540804,Potirendaba,342.492,54
3540853,Pracinha,63.054,40.89
3540903,Pradópolis,167.378,102.03
3541000,Praia Grande,149.652,2338.32
3541059,Pratânia,175.1,29.27
3541109,Presidente Alves,286.642,13.27
3541208,Presidente Bernardes,749.233,19.34
3541307,Presidente Epitácio,1260.281,31.35
3541406,Presidente Prudente,560.637,402.52
3541505,Presidente Venceslau,755.203,46.61
3541604,Promissão,779.2,45.09
3541653,Quadra,205.672,16.56
3541703,Quatá,651.341,20.21
3541802,Queiroz,234.914,13.9
3541901,Queluz,249.399,36.72
3542008,Quintana,318.937,22.07
3542107,Rafard,121.645,73.7
3542206,Rancharia,1587.498,18.01
3542305,Redenção da Serra,309.441,14.52
3542404,Regente Feijó,263.28,76.52
3542503,Reginópolis,410.406,18.67
3542602,Registro,722.201,83.01
3542701,Restinga,245.746,26.06
3542800,Ribeira,335.759,9.33
3542909,Ribeirão Bonito,471.553,23.3
3543006,Ribeirão Branco,697.5,26.71
3543105,Ribeirão Corrente,148.332,31.07
3543204,Ribeirão do Sul,203.208,23.02
3543238,Ribeirão dos Índios,196.446,10.31
3543253,Ribeirão Grande,333.363,22.35
3543303,Ribeirão Pires,98.972,1167.59
3543402,Ribeirão Preto,650.916,1073.32
3543501,Riversul,385.878,14.51
3543600,Rifaina,162.508,24.92
3543709,Rincão,316.639,28.73
3543808,Rinópolis,358.481,25.83
3543907,Rio Claro,498.422,404.11
3544004,Rio das Pedras,226.657,138.22
3544103,Rio Grande da Serra,36.341,1215.43
3544202,Riolândia,631.897,16.31
3544251,Rosana,744.011,23.44
3544301,Roseira,129.847,83.42
3544400,Rubiácea,236.484,11.42
3544509,Rubinéia,242.877,15.78
3544608,Sabino,305.285,16.75
3544707,Sagres,147.935,16.72
3544806,Sales,308.555,20.86
3544905,Sales Oliveira,305.776,37.32
3545001,Salesópolis,424.997,35.77
3545100,Salmourão,172.934,27.8
3545159,Saltinho,99.738,81.82
3545209,Salto,133.057,1009.48
3545308,Salto de Pirapora,280.412,156.01
3545407,Salto Grande,188.441,48.03
3545506,Sandovalina,455.856,8
3545605,Santa Adélia,330.269,42.44
3545704,Santa Albertina,272.692,23.44
3545803,Santa Bárbara d'Oeste,271.03,676.48
3546009,Santa Branca,272.238,51.33
3546108,Santa Clara d'Oeste,183.458,14.16
3546207,Santa Cruz da Conceição,150.13,28.49
3546256,Santa Cruz da Esperança,148.062,14.29
3546306,Santa Cruz das Palmeiras,295.337,97.73
3546405,Santa Cruz do Rio Pardo,1114.747,41.66
3546504,Santa Ernestina,134.421,45.51
3546603,Santa Fé do Sul,206.537,168.46
3546702,Santa Gertrudes,98.291,240.22
3546801,Santa Isabel,363.332,146.35
3546900,Santa Lúcia,153.86,46.46
3547007,Santa Maria da Serra,252.621,20.75
3547106,Santa Mercedes,166.753,17.73
3547205,Santana da Ponte Pensa,129.888,12.86
3547304,Santana de Parnaíba,179.949,856.38
3547403,Santa Rita d'Oeste,209.8,13.03
3547502,Santa Rita do Passa Quatro,754.141,32.93
3547601,Santa Rosa de Viterbo,288.576,81.13
3547650,Santa Salete,79.192,20.77
3547700,Santo Anastácio,552.876,32.49
3547809,Santo André,175.782,4260.5
3547908,Santo Antônio da Alegria,310.311,21.83
3548005,Santo Antônio de Posse,154.133,150.8
3548054,Santo Antônio do Aracanguá,1308.432,6.4
3548104,Santo Antônio do Jardim,109.956,55.71
3548203,Santo Antônio do Pinhal,133.008,53.63
3548302,Santo Expedito,94.465,31.76
3548401,Santópolis do Aguapeí,128.026,30.45
3548500,Santos,281.033,1489.53
3548609,São Bento do Sapucaí,252.579,46.22
3548708,São Bernardo do Campo,409.532,1979.65
