id_municipio,municipio,ano,populacao,densidade,area
3553708,Taquaritinga,2011,53844.0,90.69833333333334,593.66125
3553708,Taquaritinga,2012,53700.0,90.44666666666667,593.7225000000001
3553708,Taquaritinga,2013,53556.0,90.19500000000001,593.78375
3553708,Taquaritinga,2014,53412.0,89.94333333333334,593.845
3553708,Taquaritinga,2015,53268.0,89.69166666666668,593.90625
3553708,Taquaritinga,2016,53124.0,89.44,593.9675
3553708,Taquaritinga,2017,52980.0,89.18833333333333,594.0287500000001
3553708,Taquaritinga,2018,52836.0,88.93666666666667,594.09
3553708,Taquaritinga,2019,52692.0,88.685,594.15125
3553708,Taquaritinga,2020,52548.0,88.43333333333334,594.2125000000001
3553708,Taquaritinga,2021,52404.0,88.18166666666667,594.2737500000001
3553708,Taquaritinga,2022,52260.0,87.93,594.335
3553807,Taquarituba,2010,22291.0,49.71,448.4
3553807,Taquarituba,2011,22462.583333333332,50.09166666666667,448.40958333333333
3553807,Taquarituba,2012,22634.166666666668,50.473333333333336,448.4191666666666
3553807,Taquarituba,2013,22805.75,50.855000000000004,448.42875
3553807,Taquarituba,2014,22977.333333333332,51.236666666666665,448.43833333333333
3553807,Taquarituba,2015,23148.916666666668,51.61833333333333,448.44791666666663
3553807,Taquarituba,2016,23320.5,52.0,448.4575
3553807,Taquarituba,2017,23492.083333333332,52.38166666666667,448.46708333333333
3553807,Taquarituba,2018,23663.666666666668,52.763333333333335,448.47666666666663
3553807,Taquarituba,2019,23835.25,53.144999999999996,448.48625
3553807,Taquarituba,2020,24006.833333333332,53.526666666666664,448.49583333333334
3553807,Taquarituba,2021,24178.416666666668,53.90833333333333,448.50541666666663
3553807,Taquarituba,2022,24350.0,54.29,448.515
3553856,Taquarivaí,2010,5151.0,22.22,231.8
3553856,Taquarivaí,2011,5294.75,22.84,231.79933333333335
3553856,Taquarivaí,2012,5438.5,23.46,231.7986666666667
3553856,Taquarivaí,2013,5582.25,24.08,231.798
3553856,Taquarivaí,2014,5726.0,24.7,231.79733333333334
3553856,Taquarivaí,2015,5869.75,25.32,231.79666666666668
3553856,Taquarivaí,2016,6013.5,25.939999999999998,231.796
3553856,Taquarivaí,2017,6157.25,26.56,231.79533333333333
3553856,Taquarivaí,2018,6301.0,27.18,231.79466666666667
3553856,Taquarivaí,2019,6444.75,27.8,231.794
3553856,Taquarivaí,2020,6588.5,28.42,231.79333333333335
3553856,Taquarivaí,2021,6732.25,29.04,231.79266666666666
3553856,Taquarivaí,2022,6876.0,29.66,231.792
3553906,Tarabai,2010,6607.0,33.57,196.8
3553906,Tarabai,2011,6601.083333333333,33.4775,197.18208333333334
3553906,Tarabai,2012,6595.166666666667,33.385,197.56416666666667
3553906,Tarabai,2013,6589.25,33.292500000000004,197.94625000000002
3553906,Tarabai,2014,6583.333333333333,33.2,198.32833333333335
3553906,Tarabai,2015,6577.416666666667,33.1075,198.71041666666667
3553906,Tarabai,2016,6571.5,33.015,199.0925
3553906,Tarabai,2017,6565.583333333333,32.9225,199.47458333333333
3553906,Tarabai,2018,6559.666666666667,32.83,199.85666666666665
3553906,Tarabai,2019,6553.75,32.7375,200.23874999999998
3553906,Tarabai,2020,6547.833333333333,32.645,200.62083333333334
3553906,Tarabai,2021,6541.916666666667,32.5525,201.00291666666666
3553906,Tarabai,2022,6536.0,32.46,201.385
3553955,Tarumã,2010,12885.0,42.5,303.2
3553955,Tarumã,2011,13051.416666666666,43.0525,303.17608333333334
3553955,Tarumã,2012,13217.833333333334,43.605000000000004,303.15216666666663
3553955,Tarumã,2013,13384.25,44.1575,303.12825
3553955,Tarumã,2014,13550.666666666666,44.71,303.10433333333333
3553955,Tarumã,2015,13717.083333333334,45.2625,303.0804166666667
3553955,Tarumã,2016,13883.5,45.815,303.0565
3553955,Tarumã,2017,14049.916666666666,46.3675,303.0325833333333
3553955,Tarumã,2018,14216.333333333334,46.92,303.00866666666667
3553955,Tarumã,2019,14382.75,47.472500000000004,302.98475
3553955,Tarumã,2020,14549.166666666666,48.025000000000006,302.9608333333333
3553955,Tarumã,2021,14715.583333333334,48.5775,302.93691666666666
3553955,Tarumã,2022,14882.0,49.13,302.913
3554003,Tatuí,2010,107326.0,205.03,523.5
3554003,Tatuí,2011,108710.66666666667,207.66416666666666,523.52075
3554003,Tatuí,2012,110095.33333333333,210.29833333333335,523.5415
3554003,Tatuí,2013,111480.0,212.9325,523.56225
3554003,Tatuí,2014,112864.66666666667,215.56666666666666,523.583
3554003,Tatuí,2015,114249.33333333333,218.20083333333332,523.60375
3554003,Tatuí,2016,115634.0,220.83499999999998,523.6245
3554003,Tatuí,2017,117018.66666666667,223.46916666666667,523.64525
3554003,Tatuí,2018,118403.33333333333,226.10333333333332,523.666
3554003,Tatuí,2019,119788.0,228.73749999999998,523.6867500000001
3554003,Tatuí,2020,121172.66666666667,231.37166666666667,523.7075
3554003,Tatuí,2021,122557.33333333333,234.00583333333333,523.72825
3554003,Tatuí,2022,123942.0,236.64,523.749
3554102,Taubaté,2010,278686.0,445.98,624.9
3554102,Taubaté,2011,281357.0833333333,450.24666666666667,624.9085833333334
3554102,Taubaté,2012,284028.1666666667,454.5133333333333,624.9171666666666
3554102,Taubaté,2013,286699.25,458.78000000000003,624.92575
3554102,Taubaté,2014,289370.3333333333,463.0466666666667,624.9343333333334
3554102,Taubaté,2015,292041.4166666667,467.31333333333333,624.9429166666666
3554102,Taubaté,2016,294712.5,471.58000000000004,624.9515
3554102,Taubaté,2017,297383.5833333333,475.8466666666667,624.9600833333334
3554102,Taubaté,2018,300054.6666666667,480.11333333333334,624.9686666666666
3554102,Taubaté,2019,302725.75,484.38,624.97725
3554102,Taubaté,2020,305396.8333333333,488.64666666666665,624.9858333333334
3554102,Taubaté,2021,308067.9166666667,492.91333333333336,624.9944166666667
3554102,Taubaté,2022,310739.0,497.18,625.003
3554201,Tejupá,2010,4809.0,16.23,296.3
3554201,Tejupá,2011,4752.166666666667,16.038333333333334,296.29075
3554201,Tejupá,2012,4695.333333333333,15.846666666666668,296.2815
3554201,Tejupá,2013,4638.5,15.655000000000001,296.27225
3554201,Tejupá,2014,4581.666666666667,15.463333333333333,296.26300000000003
3554201,Tejupá,2015,4524.833333333333,15.271666666666667,296.25375
3554201,Tejupá,2016,4468.0,15.08,296.2445
3554201,Tejupá,2017,4411.166666666667,14.888333333333334,296.23525
3554201,Tejupá,2018,4354.333333333333,14.696666666666667,296.226
3554201,Tejupá,2019,4297.5,14.504999999999999,296.21675000000005
3554201,Tejupá,2020,4240.666666666667,14.313333333333333,296.20750000000004
3554201,Tejupá,2021,4183.833333333333,14.121666666666666,296.19825000000003
3554201,Tejupá,2022,4127.0,13.93,296.189
3554300,Teodoro Sampaio,2010,21386.0,13.74,1556.0
3554300,Teodoro Sampaio,2011,21451.583333333332,13.7825,1555.9835833333334
3554300,Teodoro Sampaio,2012,21517.166666666668,13.825,1555.9671666666668
3554300,Teodoro Sampaio,2013,21582.75,13.8675,1555.95075
3554300,Teodoro Sampaio,2014,21648.333333333332,13.91,1555.9343333333334
3554300,Teodoro Sampaio,2015,21713.916666666668,13.9525,1555.9179166666668
3554300,Teodoro Sampaio,2016,21779.5,13.995000000000001,1555.9015
3554300,Teodoro Sampaio,2017,21845.083333333332,14.0375,1555.8850833333333
3554300,Teodoro Sampaio,2018,21910.666666666668,14.08,1555.8686666666667
3554300,Teodoro Sampaio,2019,21976.25,14.1225,1555.8522500000001
3554300,Teodoro Sampaio,2020,22041.833333333332,14.165,1555.8358333333335
3554300,Teodoro Sampaio,2021,22107.416666666668,14.2075,1555.8194166666667
3554300,Teodoro Sampaio,2022,22173.0,14.25,1555.803
3554409,Terra Roxa,2010,8505.0,38.39,221.5
3554409,Terra Roxa,2011,8454.916666666666,38.16416666666667,221.50341666666668
3554409,Terra Roxa,2012,8404.833333333334,37.93833333333333,221.50683333333333
3554409,Terra Roxa,2013,8354.75,37.7125,221.51024999999998
3554409,Terra Roxa,2014,8304.666666666666,37.486666666666665,221.51366666666667
3554409,Terra Roxa,2015,8254.583333333334,37.26083333333333,221.51708333333335
3554409,Terra Roxa,2016,8204.5,37.035,221.5205
3554409,Terra Roxa,2017,8154.416666666667,36.80916666666667,221.52391666666665
3554409,Terra Roxa,2018,8104.333333333333,36.583333333333336,221.52733333333333
3554409,Terra Roxa,2019,8054.25,36.3575,221.53075
3554409,Terra Roxa,2020,8004.166666666667,36.13166666666667,221.53416666666666
3554409,Terra Roxa,2021,7954.083333333333,35.905833333333334,221.53758333333332
3554409,Terra Roxa,2022,7904.0,35.68,221.541
3554508,Tietê,2010,36835.0,91.0,404.8
3554508,Tietê,2011,36904.0,91.1775,404.76633333333336
3554508,Tietê,2012,36973.0,91.355,404.73266666666666
3554508,Tietê,2013,37042.0,91.5325,404.699
3554508,Tietê,2014,37111.0,91.71,404.66533333333336
3554508,Tietê,2015,37180.0,91.8875,404.63166666666666
3554508,Tietê,2016,37249.0,92.065,404.598
3554508,Tietê,2017,37318.0,92.24249999999999,404.56433333333337
3554508,Tietê,2018,37387.0,92.42,404.53066666666666
3554508,Tietê,2019,37456.0,92.5975,404.497
3554508,Tietê,2020,37525.0,92.77499999999999,404.46333333333337
3554508,Tietê,2021,37594.0,92.9525,404.42966666666666
3554508,Tietê,2022,37663.0,93.13,404.396
3554607,Timburi,2010,2646.0,13.45,196.8
3554607,Timburi,2011,2630.8333333333335,13.372499999999999,196.79916666666668
3554607,Timburi,2012,2615.6666666666665,13.295,196.79833333333335
3554607,Timburi,2013,2600.5,13.2175,196.7975
3554607,Timburi,2014,2585.3333333333335,13.139999999999999,196.79666666666668
3554607,Timburi,2015,2570.1666666666665,13.0625,196.79583333333335
3554607,Timburi,2016,2555.0,12.985,196.79500000000002
3554607,Timburi,2017,2539.8333333333335,12.907499999999999,196.79416666666665
3554607,Timburi,2018,2524.6666666666665,12.83,196.79333333333332
3554607,Timburi,2019,2509.5,12.7525,196.7925
3554607,Timburi,2020,2494.3333333333335,12.674999999999999,196.79166666666666
3554607,Timburi,2021,2479.1666666666665,12.5975,196.79083333333332
3554607,Timburi,2022,2464.0,12.52,196.79
3554656,Torre de Pedra,2010,2254.0,31.59,71.3
3554656,Torre de Pedra,2011,2236.6666666666665,31.3475,71.304
3554656,Torre de Pedra,2012,2219.3333333333335,31.105,71.30799999999999
3554656,Torre de Pedra,2013,2202.0,30.8625,71.312
3554656,Torre de Pedra,2014,2184.6666666666665,30.62,71.316
3554656,Torre de Pedra,2015,2167.3333333333335,30.3775,71.32
3554656,Torre de Pedra,2016,2150.0,30.134999999999998,71.324
3554656,Torre de Pedra,2017,2132.6666666666665,29.8925,71.328
3554656,Torre de Pedra,2018,2115.3333333333335,29.65,71.332
3554656,Torre de Pedra,2019,2098.0,29.4075,71.336
3554656,Torre de Pedra,2020,2080.6666666666665,29.165,71.34
3554656,Torre de Pedra,2021,2063.3333333333335,28.9225,71.344
3554656,Torre de Pedra,2022,2046.0,28.68,71.348
3554706,Torrinha,2010,9330.0,30.03,310.7
3554706,Torrinha,2011,9330.416666666666,29.995,311.0805833333333
3554706,Torrinha,2012,9330.833333333334,29.96,311.46116666666666
3554706,Torrinha,2013,9331.25,29.925,311.84175
